gvkey1,gvkey2,year
2150,25753,2002
2163,12259,1998
2169,10260,1985
2169,4110,1993
2169,12269,1999
2176,2274,1983
2176,9507,1986
2176,6301,2000
2176,2338,2001
2176,11506,2002
2176,13099,2002
2176,4993,2002
2176,65313,2002
2176,2176,2003
2176,3103,2003
2176,4001,2003
2176,14078,2005
2176,4768,2005
2176,2176,2007
2176,11060,2007
2176,1076,2008
2176,3126,2008
2184,2845,2008
2184,160658,2009
2185,2069,1983
2190,5250,1996
2193,8528,1986
2193,8128,1996
2204,13158,1998
2204,14398,1998
2219,5584,1990
2220,8280,1997
2220,14534,1997
2222,12965,1993
2230,4264,1988
2230,13220,1995
2252,3049,1989
2255,4327,1989
2255,7085,2003
2259,129078,2000
2259,7977,2005
2259,11056,2008
2259,11923,2015
2269,4764,1998
2270,138002,2002
2270,14908,2011
2271,8136,1985
2281,2941,1985
2281,2941,1985
2281,2844,1988
2281,10180,1992
2281,11891,
2285,1734,1987
2285,5073,2000
2285,185575,2008
2290,31693,2000
2290,2290,2003
2308,1904,1990
2312,2269,2005
2316,11864,1986
2322,3009,1986
2328,3257,1999
2338,9110,1987
2338,8215,2007
2345,29924,1999
2346,63906,1998
2346,137232,2008
2351,13809,1998
2352,5047,2006
2357,7046,1985
2360,18760,
2360,24940,
2362,15440,1993
2366,11868,1988
2369,2968,2007
2369,2369,2007
2369,4839,2008
2369,2968,2010
2369,2369,2011
2369,143356,2011
2396,61372,2001
2402,15792,1992
2402,29621,1999
2403,5114,1986
2403,3371,1990
2403,2403,1996
2403,24191,2009
2410,22255,1998
2410,8113,1999
2410,30400,2000
2410,7974,2008
2411,127480,2005
2435,6670,1984
2437,8736,1996
2437,11038,1999
2439,1439,1989
2439,62339,
2444,25154,1997
2489,7087,1986
2490,9878,1986
2490,9408,1995
2497,164543,2008
2504,7244,1981
2504,9947,1986
2504,10578,1988
2504,20903,1999
2504,25631,2004
2507,10547,1983
2519,110685,2008
2526,10867,2000
2529,5872,1982
2536,3863,1999
2536,3863,1999
2536,3863,1999
2536,6765,2000
2536,126454,2006
2537,2537,2000
2538,20495,2003
2547,5843,1982
2547,8724,1984
2547,16961,1997
2547,2547,2006
2547,2547,2006
2547,8702,2008
2547,165855,2012
2558,12726,1997
2558,8031,2011
2558,8807,2011
2574,11405,1983
2574,10495,1983
2574,9534,1986
2577,4524,1982
2577,2577,1982
2577,4126,1997
2577,3756,2005
2581,9071,2001
2593,9925,1989
2596,8874,1999
2596,13011,2001
2596,66413,2003
2596,1500,2004
2596,2596,2006
2597,13592,1993
2597,15273,1995
2597,66073,2006
2605,2604,1991
2614,8887,1984
2615,12789,2017
2616,8012,1992
2620,17635,2004
2620,15782,2004
2628,4024,2000
2632,8983,1985
2646,2244,1990
2649,5188,1985
2663,18597,1997
2696,23065,1998
2696,24069,2001
2710,2710,2000
2710,14447,2000
2710,119595,2002
2717,10781,1989
2729,1409,1986
2731,4739,1998
2749,3488,
2751,2751,1998
2751,9458,1999
2751,13786,2000
2751,65463,2002
2751,15315,2005
2751,1034,2006
2751,145854,2007
2751,6266,2016
2771,100080,1998
2771,7936,2001
2771,28940,2012
2783,2783,2006
2812,27900,1995
2812,2812,2012
2817,9203,1998
2817,4321,1999
2827,11186,1981
2839,2044,1983
2839,13904,1989
2845,28543,2000
2849,28614,1996
2856,13169,2008
2884,21309,1994
2884,1485,1998
2884,4961,2000
2884,2136,2002
2884,13440,2003
2884,174130,2009
2884,61489,2011
2886,25995,2000
2908,12679,2000
2916,2916,1999
2917,9381,1984
2930,10336,1983
2938,6733,2002
2939,12442,1992
2939,12145,1994
2940,1177,1998
2942,24498,1996
2942,9051,2002
2942,19349,2013
2943,4425,1981
2950,2950,1997
2950,2403,1998
2950,19661,1999
2950,1078,2002
2960,9253,1996
2960,62733,1999
2968,10488,1987
2968,5702,1989
2968,7003,1991
2968,2849,1997
2968,7647,1997
2968,14793,1997
2968,2019,1997
2968,12124,1998
2968,15362,2000
2968,12108,2001
2968,15634,2003
2968,5047,2003
2968,62494,2004
2968,2968,2005
2968,2968,2005
2968,6307,2005
2968,25283,2006
2968,2019,2006
2968,2968,2008
2968,2968,2008
2968,6266,2008
2968,10631,2009
2968,15634,2010
2968,2968,2011
2968,4510,2014
2987,9938,
2991,10482,2001
2991,7977,2002
2991,11038,2005
2991,2991,2010
2991,2369,2011
2997,5698,1985
3007,25204,1994
3011,2901,1991
3011,29439,1995
3022,5389,1985
3022,1517,1987
3022,4301,1987
3022,13921,1989
3024,29891,1999
3026,61142,2001
3026,10845,2003
3028,62257,2010
3031,2557,1989
3036,1901,1987
3036,12193,1988
3036,63229,1999
3062,4936,2017
3066,8883,1987
3070,3069,1986
3071,28449,1999
3078,6818,1990
3079,3079,1982
3081,4945,1983
3084,5410,1985
3084,5044,1987
3087,3832,1990
3091,20894,
3093,7045,1999
3093,65948,2001
3093,5047,2014
3103,8067,
3110,10617,1982
3110,6128,1983
3114,25844,1999
3116,135247,2006
3121,12630,1997
3121,14854,1999
3126,7480,2000
3138,3138,2010
3138,3144,2015
3138,3144,2015
3138,3144,2015
3144,3142,1981
3144,8039,1985
3144,2597,1999
3144,2597,1999
3144,3144,2001
3144,12756,2010
3153,9263,1988
3153,2630,1991
3153,15037,2015
3157,26038,1999
3157,30209,2010
3158,9465,2001
3158,2504,2006
3162,4727,
3164,3006,1982
3170,11182,1990
3200,5047,1997
3203,5250,2010
3206,11558,1999
3210,8810,2005
3221,9222,1982
3224,5892,1984
3224,6228,1984
3224,1093,1987
3226,12841,1988
3226,12721,1994
3226,6282,2000
3226,3226,2007
3226,5047,2011
3226,3226,2013
3231,2016,1983
3231,7005,1992
3231,17268,1995
3231,25860,2011
3238,3238,2006
3243,9563,1999
3243,63126,1999
3243,10301,2000
3243,61534,2000
3243,1831,2000
3243,9563,2003
3243,145701,2004
3243,4601,2007
3243,25080,2007
3243,3243,2009
3243,139225,2010
3243,30990,2013
3243,3243,2015
3246,3424,2013
3273,1615,1981
3273,25053,1997
3275,62295,2004
3277,119696,2004
3278,4402,1992
