gvkey1,gvkey2,year
5978,12891,1993
5978,13005,1995
5987,2465,1982
5987,3120,1986
5988,1945,1998
6003,24190,2006
6003,160254,2010
6008,3311,1982
6008,3955,1998
6008,31586,1999
6008,4839,2000
6008,25115,2001
6008,135708,2002
6008,10499,2010
6020,122136,2001
6025,9471,1985
6025,3486,1987
6025,6584,1988
6036,221616,2001
6038,2959,1984
6039,114777,1999
6062,100243,1996
6066,31603,1996
6066,31579,1998
6066,29381,1999
6066,13315,1999
6066,66393,1999
6066,138127,2001
6066,12587,2005
6066,66468,2006
6066,149738,2006
6066,13525,2006
6066,178113,2012
6066,163771,2012
6066,66630,2015
6078,6078,2014
6089,176092,2011
6096,4719,1983
6096,6096,1999
6097,14177,1992
6097,61255,2007
6102,5071,2002
6104,10042,1983
6104,5453,1986
6104,1664,1987
6104,4603,1996
6104,11446,1998
6104,13553,2000
6104,2917,2000
6104,11456,2008
6104,10426,2012
6104,11456,2016
6110,7526,2005
6116,28182,2006
6121,4443,1998
6121,141400,1998
6127,2125,1983
6127,7994,1996
6127,11691,1997
6127,6127,1999
6127,3206,2000
6127,8264,2000
6127,121194,
6128,2969,
6135,9267,2004
6135,2410,2006
6135,8549,2011
6136,6136,1996
6136,6136,1997
6136,4834,2001
6152,16419,2000
6158,63760,1998
6172,6177,1991
6183,8531,1981
6196,1665,1986
6196,9105,1988
6196,66049,2002
6210,3685,1986
6215,29953,2003
6216,14145,2010
6218,6218,1997
6218,25205,1997
6218,6218,1997
6223,64997,2002
6239,15620,2007
6241,61757,1999
6241,8702,2004
6260,9430,1981
6266,4418,1982
6266,7823,1994
6266,24623,1995
6266,3520,1996
6266,62398,1997
6266,2846,1999
6266,63003,2000
6266,63442,2001
6266,2616,2003
6266,1478,2004
6266,8762,2005
6266,157758,2008
6266,7250,2009
6266,176663,2009
6266,163102,2010
6268,1900,1983
6268,5699,1985
6268,13135,2006
6272,6272,1984
6272,14668,1996
6287,7106,1991
6288,9468,1989
6288,11484,1993
6288,10441,1997
6301,6566,1990
6302,10722,1987
6304,6370,1999
6304,29241,1999
6304,63871,2002
6304,61427,2007
6304,115245,2007
6307,4934,1981
6307,8258,1990
6307,9563,2006
6310,9209,1986
6310,1532,1994
6310,4242,2012
6310,178863,2014
6310,25627,2014
6324,6324,1982
6326,65345,2005
6326,6528,2012
6331,4108,2006
6331,3580,2012
6334,11056,2008
6338,6337,1992
6338,7647,2006
6338,8151,2006
6347,8972,2000
6349,14446,1997
6354,1586,1987
6357,5566,1997
6357,162561,2012
6362,64321,2001
6364,11244,1981
6366,1087,1983
6375,8543,1996
6375,8543,2005
6379,19605,2008
6386,4608,2007
6386,10405,2014
6403,14878,1999
6403,13115,1999
6403,220546,2000
6403,25956,2001
6403,140800,2004
6418,4744,1988
6418,11894,
6418,16787,
6427,1645,1986
6433,101352,2001
6435,1989,1999
6439,12375,1988
6439,13227,1988
6439,1553,1988
6461,5051,1983
6461,4060,2002
6467,7816,1984
6475,146114,2004
6499,6406,1982
6502,3966,1983
6502,12681,2000
6502,11535,2003
6502,10190,2004
6507,15313,1995
6512,1072,1990
6512,24800,2000
6512,24800,2000
6512,6512,2010
6527,7435,2014
6529,9582,1999
6529,64485,2000
6529,6066,2002
6529,65904,2009
6531,9694,1983
6531,9064,1984
6532,29085,2009
6541,13564,1994
6543,6438,1988
6547,6552,2006
6550,1463,1986
6552,6547,1998
6552,6531,2000
6552,6552,2002
6552,6547,
6565,60982,1998
6598,17232,2002
6617,62631,2001
6639,3980,1997
6649,29341,2005
6653,15929,2004
6653,3243,2006
6669,3901,1987
6669,6669,1996
6682,2749,1982
6682,1986,1988
6682,1986,1992
6682,24620,2007
6701,6701,1997
6707,17089,1994
6714,11197,1988
6717,147451,2004
6730,8566,1980
6730,24892,1994
6730,138121,2004
6730,165650,2008
6730,24699,2008
6731,5369,1996
6733,6583,1983
6733,11672,1997
6733,61445,2003
6742,6241,2006
6742,61739,2012
6745,10777,1982
6765,6195,1983
6765,6042,1992
6765,20432,1999
6765,14325,2000
6774,9395,1986
6774,6807,1996
6781,1173,1996
6781,4029,2007
6781,112876,2011
6785,5124,1996
6788,3725,1990
6788,4430,2007
6788,3897,2008
6799,4189,2000
6799,6799,2004
6802,31673,2008
6809,3094,1981
6809,10843,1997
6819,6820,1984
6819,5940,1986
6821,30480,1997
6821,28521,1999
6829,25571,2000
6829,170312,2014
6830,8902,2000
6830,62169,2002
6830,4060,2003
6830,63892,2004
6830,4060,2009
6837,5088,1982
6837,10196,1984
6856,12899,1990
6864,12219,1990
6867,8151,1996
6867,28939,1999
6867,8264,2000
6867,4242,2002
6868,11502,1981
6872,6057,1984
6873,5703,1987
6900,13902,1998
6900,11803,1999
6908,5894,1998
6922,62859,2002
6963,6963,1981
6998,1672,1984
7007,8214,1998
7007,100049,1999
7008,5475,1997
7017,25422,1999
7017,11506,2003
7017,1794,2005
7022,5723,2006
7022,147638,2011
7032,2871,1982
7045,5391,1987
7045,3401,1988
7045,2899,1989
7045,1761,1989
7049,7049,1998
7063,9361,1986
7063,21631,1996
7063,28930,1997
7063,7063,1997
7063,177088,2005
7063,28930,2007
7063,5723,2015
7065,7065,1981
7065,12817,1990
7065,63980,2004
7065,2845,2008
7067,11886,1994
7077,6774,
7083,1556,1987
7085,4468,1982
7085,4468,1982
7085,5586,1986
7085,7085,1997
7086,15252,1998
7092,12678,1989
7114,6861,1991
7116,24282,1993
7123,10935,1988
7125,10778,1984
7125,8274,1986
7127,1803,1987
7133,5553,1986
7133,5551,1986
7139,6937,1986
7139,2997,1989
7146,10012,1981
7146,10845,2008
7152,60848,1999
7155,10790,1984
7155,9481,1984
7161,149738,2004
7163,8034,1986
7163,29712,1998
7163,13997,2001
7164,1955,
7171,9934,1986
7171,9339,1986
7171,7090,1986
7171,12974,1991
7171,62656,1998
7171,101310,1999
7171,5399,1999
7171,60835,2011
7171,30161,2013
7180,1610,1987
7180,7554,2000
7186,8678,1988
7186,23792,1994
7186,119753,2005
7186,25000,2007
7203,15704,2000
7203,5047,2006
7206,1346,1988
7206,12640,1992
7208,28109,1999
7216,13385,1988
7216,10185,1996
7228,2219,1991
7228,4280,1994
7228,7228,1997
7228,8960,1997
7228,61695,1999
7228,24038,1999
7228,62572,1999
7228,63772,2000
7228,61059,2002
7228,60906,2002
7228,27780,2008
7228,22308,2011
7238,5173,1983
7238,4079,1994
7238,16946,1994
7238,4839,1996
7238,2029,1997
7238,25331,2002
7238,24318,2004
7238,13988,2006
7241,12682,1998
7241,8446,2004
7241,7241,2006
7241,31549,2007
7241,28699,2007
7241,17266,2011
7241,177088,2014
7241,8133,2015
7241,3813,2015
7251,31186,1996
7252,25083,1994
7252,17246,1995
7252,25875,1995
7252,25019,1995
7252,5529,1996
7252,22545,1998
7253,63238,2005
7257,7186,1993
7257,63689,1999
7257,12239,1999
7257,62838,1999
7257,138470,2001
7257,62632,2006
7257,7409,2010
7257,138466,2011
7257,63866,2015
7257,9699,2015
7260,148531,2015
7261,20188,
7273,65773,
7276,7277,1984
7278,2205,2003
7295,8253,1998
7295,11323,1998
7295,3016,1999
7298,8921,1982
7300,63507,2005
7319,7319,1996
7326,7874,1982
7327,12716,1988
7329,13114,1998
7343,101352,1998
7343,7343,2001
7343,1581,2002
7343,138843,2006
7343,7343,2012
7345,16458,1994
7345,25208,1995
7345,29907,1996
7345,5458,1998
7346,138602,2006
7346,9937,2009
7346,140736,2009
7346,28678,2011
7346,23943,2016
7366,5387,1993
7366,3439,2007
7366,2859,2011
7366,4517,2011
7373,8483,1982
7375,5324,1983
7375,5591,1985
7375,3455,1987
7380,6176,1990
7380,6173,1995
7409,5250,1996
7420,29386,2005
7422,18705,2000
7422,11923,2007
7422,11923,2007
7422,144435,2013
7422,27786,2013
7435,25441,2001
7435,9186,2001
7435,63559,2005
7435,15252,2009
7435,2111,2009
7435,4608,2012
7435,179741,2015
7437,2084,1988
7437,6531,2001
7440,2123,1983
7440,1040,1985
7440,12388,1988
7448,15269,1997
7448,4719,1997
7466,114303,1999
7469,24543,1999
7471,10530,2002
7471,9267,2005
7475,4503,1996
7475,8079,1996
7481,7481,1998
7504,30352,2005
7506,11142,2000
7506,11573,2007
7525,25016,1997
7526,60958,1999
7536,9560,1985
7536,12349,1997
7549,7985,2003
7562,15580,1997
7562,7471,1999
7566,13312,2005
7572,13143,1989
7578,9822,1983
7585,11678,2000
7585,61550,2002
7585,116526,2003
7585,10232,2007
7585,117905,2007
7620,8075,1991
7636,2452,1987
7647,9067,1989
7647,7083,1993
7647,19564,1994
7647,23802,1995
7647,2021,1996
7647,4723,1996
7647,25573,1996
7647,2051,1998
7647,12124,1998
7647,13510,2001
7647,4764,2004
7647,9783,2005
7647,23592,2006
7647,3555,2008
7650,176448,1991
7650,5920,1992
7650,16708,1995
7650,4689,1995
7650,31692,1996
7650,10323,1997
7652,5492,2002
7652,113419,
7668,3080,1988
7672,9055,1986
7672,7278,2007
7674,7675,1981
7682,11694,2009
7691,10182,1996
7700,8007,1997
7711,2003,1984
7711,4712,1988
7711,24246,1995
7711,13855,1996
7711,14220,1998
7711,7647,1999
7711,65829,2003
7711,61364,2004
7711,19878,2004
7711,20075,2007
7712,1362,1983
7712,7657,1983
7718,7817,1997
7718,7163,1998
7723,62656,1998
7723,62090,1998
7724,10131,1983
7727,1145,1987
7733,4093,2003
7745,4875,1987
7750,7741,1984
7750,9026,1985
7750,120297,2007
7750,148356,2013
7758,30150,1997
7759,5076,1987
7761,8479,1998
7761,65417,1999
7761,65417,2001
7761,65417,2009
7772,3775,1983
7772,16401,1997
7781,8972,1997
7798,28469,2000
7798,8543,2002
7809,5160,1996
7821,14342,1991
7821,15353,1993
7824,9692,1999
7835,2556,1998
7852,7852,1997
7852,7852,2006
7862,2175,2000
7862,9194,2002
7866,1181,1993
7875,2179,1982
7875,7444,1983
7875,11605,1987
7875,1638,1987
7875,11937,1992
7875,10116,1992
7875,5231,1993
7875,25295,1996
7875,1468,1997
7875,3497,1998
7875,5169,2000
7875,27980,2016
7878,7879,1989
7881,26244,2008
7908,63661,2011
7912,4844,1998
7912,62756,2005
7912,15070,2010
7912,166061,2015
7923,8575,1982
7932,100401,2003
7935,7527,1983
7935,11025,1986
7935,6746,1988
7938,12462,1988
7938,114303,2000
7951,4040,2001
7959,2965,2000
7967,5865,1988
7967,13317,1992
7970,8806,1992
7970,17164,2000
7970,7970,2000
7974,2088,1999
7974,3206,2000
7977,135990,2002
7980,9818,2000
7980,133987,2005
7985,6785,1997
7985,10405,1999
7985,5018,2001
7985,64096,2002
7985,10301,2002
7985,4456,2007
7991,8972,1999
7991,10405,1999
7991,2817,2008
8000,10817,1995
8000,29635,1997
8000,25059,1999
8001,8455,2014
8004,2971,1982
8007,3919,1982
8007,10883,1991
8007,25947,1996
8007,8007,1996
8007,30700,1996
8007,9890,1996
8007,8702,1998
8007,8007,1998
8007,13032,1999
8007,15613,1999
8007,12603,2000
8007,11853,2000
8007,2444,2001
8007,10519,2002
8007,25108,2003
8007,61739,2004
8007,8007,2005
8007,14477,2006
8007,4973,2007
8007,5047,2016
8007,5047,2016
8015,102704,1997
8015,15246,1998
8015,24499,1998
8015,103307,1998
8015,64366,1998
8015,61428,
8030,11600,2004
8030,14326,2007
8030,65248,2012
8030,18287,2014
8031,28349,1996
8040,2927,1982
8067,13109,1998
8068,5848,1981
8068,7363,1986
8068,5581,1996
8068,11923,2007
8068,3243,2009
8068,8272,2010
8068,12384,2011
8073,8073,2014
8092,10146,1995
8093,1294,1982
8093,4153,1990
8093,15026,1991
8105,14182,1998
8113,5047,1998
8113,184321,2012
8118,27787,1994
8118,16849,1995
8120,7791,1981
8120,11248,1982
8120,8282,1982
8123,5780,1984
8123,9197,1985
8123,30915,2002
8123,14380,2007
8123,8123,2011
8123,4060,2015
8133,8133,1996
8133,63970,1997
8133,8133,1997
8133,25147,1998
8133,24187,2005
8133,11264,2010
8135,7790,1984
8148,3054,2005
8151,26013,1999
8151,6310,2000
8151,6310,2000
8151,9867,2004
8164,8152,1985
8173,1386,1987
8173,20666,2001
8186,24711,1997
8195,1900,1993
8213,7171,2006
8213,7205,2014
8214,9267,1997
8214,14952,1997
8219,12450,1999
8245,3073,1987
8245,2848,1988
8245,175498,1992
8245,176429,1992
8245,16941,1993
8245,17250,1994
8245,11849,1994
8245,7238,1996
8245,1998,1996
8245,25157,1999
8245,7253,2007
8245,19537,2008
8245,7711,2008
8245,16681,2011
8245,64699,2011
8247,8247,1998
8247,3558,1998
8247,15334,1999
8247,17436,2008
8252,8130,1983
8253,10731,1987
8253,5259,1988
8264,8265,1986
8272,8737,1984
8272,10558,1986
8272,10292,2002
8272,3439,2003
8272,66404,2008
8283,3229,1981
8283,7966,1990
8290,11052,1989
8293,8293,2000
8304,8886,1989
8304,29274,2014
8324,10923,1981
8325,10490,1989
8325,15124,1994
8325,6127,1996
8331,3904,1984
8331,1118,1985
8331,9104,1986
8331,4909,1986
8332,1578,1980
8333,7694,2009
8357,25509,2005
8358,10878,1987
8358,5392,1988
8358,19349,1997
8358,3734,2000
8358,22059,2001
8358,3734,2002
8358,6900,2003
8358,5087,2006
8363,8363,1998
8382,4471,1996
8382,11196,1997
8386,5838,1981
8402,8396,1996
8402,7647,2003
8431,4951,1981
8431,5383,1983
8431,12159,1988
8431,15598,1999
8431,7741,2004
8431,13557,2007
8434,3297,1999
8439,4769,2000
8446,9155,1998
8446,5121,2000
8446,13824,2000
8451,4746,1985
8457,9256,2003
8457,28714,2003
8457,28900,2004
8457,155754,2006
8457,4611,2006
8457,4611,2006
8457,11220,2015
8463,7177,1986
8463,5047,2008
8463,10787,2012
8463,8463,2014
8465,8465,1998
8468,4535,1988
8468,12420,1990
8468,12420,1991
8470,23961,2003
8479,10315,1983
8479,1001,1986
8479,8852,2001
8486,8486,1982
8488,1693,1993
8492,8492,1982
8504,5413,1983
8505,2040,1982
8510,7928,
8530,1657,1987
8530,24713,1995
8530,11288,2000
8530,7536,2003
8530,138703,2004
8530,6266,2004
8530,138404,2005
8530,29992,2008
8530,266316,2011
8533,4269,1989
8539,3835,2010
8539,8694,2016
8539,7366,2017
8542,3444,1999
8542,4103,2003
8542,7437,2004
8542,65842,2010
8542,179437,2011
8542,179437,2012
8542,8542,2012
8543,8543,1997
8546,62599,1997
8546,11062,1999
8546,25216,2000
8546,126554,2001
8546,6722,2006
8546,6039,2006
8546,166365,2008
8546,174118,2015
8549,5025,1983
8549,8549,2004
8549,29453,2004
8549,1440,2007
8551,13990,2014
8562,61087,2000
8575,4330,1986
8577,10446,1985
8577,7668,2002
8577,2783,2003
8579,10482,1998
8579,14391,2001
8582,8582,1998
8582,124042,2007
8582,140760,2017
8585,3998,1986
8605,15580,2015
8606,63955,2001
8606,12521,2002
8606,10005,2004
8626,8709,1985
8626,14465,1999
8627,9267,1999
8629,6393,1985
8631,1139,1981
8643,9752,1988
8655,1721,1998
8658,3674,1993
8658,142462,1999
8675,14042,2005
8681,7960,1991
8702,61408,2000
8702,4723,2006
8716,12603,1998
8717,13003,1998
8717,4413,1999
8717,11615,2000
8717,9332,2004
8717,15050,2013
8736,8512,1987
8745,10408,1986
8750,3044,1984
8750,1516,1985
8750,63855,1997
8760,8760,1997
8760,7647,1999
8762,9126,1986
8762,1663,1996
8762,2403,2002
8787,30388,2001
8789,25758,1997
8789,61341,1998
8789,2968,2006
8789,10614,2010
8794,25157,1997
8802,1798,1996
8804,9906,1997
8807,10292,2005
8807,8272,2006
8810,211819,2000
8810,11550,2002
8818,11295,1997
8818,14337,2000
8818,9867,2001
8822,8407,1986
8823,8823,1998
8823,11328,2001
8823,2845,2009
8828,8828,
8852,10091,1984
8852,1643,1987
8854,2764,1982
8859,13175,1989
8867,64462,1999
8872,146111,2004
8873,11024,1987
8873,25956,1998
8873,1848,1998
8873,1848,1998
8894,8894,1983
8898,1998,1999
8902,3572,1988
8902,12992,2004
8912,10920,2000
8940,19073,
8960,9703,1988
8961,9277,1992
8964,1070,1981
8970,8970,1983
8972,23956,1995
8972,3022,1996
8972,5073,1997
8990,24953,1996
9001,4967,1983
9059,5540,1984
9063,63620,1999
9063,28590,2003
9067,6058,1987
9069,15158,1991
9083,30128,2008
9089,1088,1983
9098,5983,1987
9111,3448,1982
9111,3101,1984
9111,10335,1984
9111,7334,1984
9111,4289,1985
9135,1246,2009
9155,11584,1997
9155,6730,1999
9155,9155,2008
9167,5445,1988
9173,4058,2003
9191,29478,1998
9203,23876,1996
9203,16401,1997
9215,12880,1988
9215,15704,1997
9216,4060,1997
9216,6096,1997
9216,29511,1999
9216,29677,2004
9216,63385,2008
9216,157959,2009
9216,157414,2011
9216,186823,2015
9217,2176,2001
9224,9357,1998
9224,1794,
9225,2845,2008
9225,17947,2014
9236,23979,1995
9236,23979,1995
9256,10685,2002
9273,5412,2003
9273,163027,2010
9280,4253,1990
9299,9428,1986
9313,1690,1996
9332,6956,1997
9340,7599,1988
9343,12441,1988
9343,65894,2000
9351,62917,1997
9355,11867,1987
9355,12913,1989
9358,102422,1998
9359,14152,1997
9359,28540,1999
9359,3310,2002
9359,25091,2003
9359,138486,2003
9359,22059,2004
9359,187434,2011
9367,14096,1994
9372,64497,2005
9372,63100,2008
9372,10550,2015
9380,10815,1998
9382,6990,1988
9404,9408,
9406,6934,1992
9406,29169,1996
9406,22255,1999
9411,9429,1982
9411,1120,1989
9411,2919,1989
9411,12325,1989
9433,7325,1984
9435,6978,
9445,8808,2000
9459,6414,1986
9459,8530,1999
9465,7006,1981
9465,1697,1982
9465,9581,1984
9465,29046,1996
9465,28338,2000
9465,138202,2000
9465,9772,2010
9466,13997,2002
9470,9470,1998
9472,8068,1997
9480,2285,2000
9480,125529,2004
9483,10540,2000
9504,30651,1999
9532,9542,1994
9545,14377,1996
9548,2249,1987
9549,5188,1996
9549,28229,2001
9555,5250,1998
9556,6391,1982
9556,12265,1988
9563,12551,1987
9563,22228,1994
9563,21868,1996
9563,22228,1997
9563,6307,2004
9573,29824,2000
9573,64332,2001
9577,1741,1986
9577,8932,1987
9577,12585,1990
9602,9580,1993
9611,5833,1982
9611,1377,1987
9611,7565,1988
9611,30477,1996
9611,30828,1999
9611,15173,2006
9612,9800,1982
9612,11518,1985
9613,24614,1997
9613,111025,1999
9633,5999,1983
9653,6819,1996
9653,15243,1998
9655,114777,2002
9667,5285,1981
9667,8711,1996
9667,5894,1996
9667,9667,1997
9667,29392,2003
9673,10399,1996
9689,20977,1995
9699,2771,2005
9705,1614,1981
9705,11459,1983
9718,10583,1998
9726,8281,1989
9728,9728,2012
9754,9754,1983
9771,26520,2009
9771,19927,2016
9772,4321,2000
9772,140569,2008
9774,4584,2001
9774,64344,2002
9774,4584,2004
9774,11535,2005
9774,3362,2005
9774,3362,2006
9775,6083,1987
9775,6069,1988
9777,8762,2003
9778,10153,1992
9778,15704,1997
9778,5439,2016
9781,4356,1986
9781,11968,1988
9783,10603,1990
9783,176452,1993
9783,23584,1995
9783,7153,1998
9783,124437,2004
9783,9783,2005
9783,9783,2012
9786,9786,1998
9786,62447,2003
9815,9815,1996
9815,3619,1999
9815,100806,2001
9818,13653,1999
9818,174147,2009
9831,1995,2010
9831,5742,2012
9835,24544,2000
9837,7555,1988
9842,5268,1985
9846,22797,2000
9846,30128,2000
9850,9432,1988
9850,1848,1997
9850,3255,1997
9850,4191,1998
9850,8264,1999
9850,2783,2006
9850,175404,2014
9859,1544,1998
9872,1447,2004
9873,10112,1983
9879,1751,1983
9879,8021,1984
9879,2772,1986
9879,10552,1988
9880,17023,1993
9880,16673,1993
9880,9880,1996
9880,4678,1997
9880,1194,1997
9880,1194,1998
9880,65777,2001
9880,25635,2001
9880,30229,2001
9880,119535,
9882,7626,1985
9890,7825,1986
9890,63449,1999
9899,1802,1994
9899,9861,1998
9899,2146,2000
9899,118167,2001
9899,9899,2002
9899,114484,2004
9899,134845,2004
9899,1581,2005
9899,1318,2006
9899,118304,2007
9899,2136,2008
9899,24747,2009
9899,176066,2013
9899,114484,2014
9899,12206,2015
9904,118795,2014
9911,4673,1983
9911,3241,1987
9911,3070,1990
9919,124042,2009
9921,4204,1997
9921,9921,2003
9921,2968,2004
9922,11169,2014
9937,4460,1998
9937,61988,2004
9937,25929,2008
9952,12954,1988
9952,116104,2000
9965,5085,1981
9965,5085,1981
9977,2542,1985
10000,3497,1998
10000,3734,2003
10001,6387,1981
10002,10799,1998
10002,11610,2000
10016,10351,1983
10016,2255,2010
10016,174066,2011
10035,61840,1996
10035,7252,1996
10035,4764,1997
10043,7390,1984
10044,10044,1997
10063,4764,1996
10063,14316,2010
10071,11063,1993
10071,9570,1994
10071,17235,1995
10071,63489,1999
10071,66056,1999
10086,10086,2007
10086,10086,2015
10093,9889,1987
10096,23784,1994
10096,23785,1996
10096,24514,1997
10096,24697,1997
10115,138341,1998
10115,8530,1998
10115,10787,2002
10115,25279,2011
10121,4685,1984
10134,6778,1991
10142,16805,1994
10142,18532,
10150,6911,1983
10150,6028,1986
10150,3017,1986
10150,1847,1988
10150,10809,1988
10150,10530,1999
10150,13406,2006
10156,5496,1998
10156,4242,2003
10156,4242,2004
10163,10135,1984
10163,7415,1991
10174,4720,1984
10187,4755,1984
10187,10752,1985
10187,10539,1986
10187,2070,1997
10187,10992,1998
10187,5786,2002
10187,13054,2004
10187,10187,2014
10190,11453,1993
10190,14300,1995
10190,10190,1997
10190,1240,1999
10190,14405,2000
10190,118734,2005
10190,5301,2012
10190,9359,2014
10198,62850,1999
10200,28305,1999
10216,4904,1983
10227,1481,1982
10232,6891,
10247,4054,2000
10266,13306,1996
10270,10270,1997
10270,127274,
10275,3981,1988
10284,10372,1984
10297,6223,2014
10297,63495,2016
10301,25438,1998
10301,110685,1999
10301,22657,2001
10329,10830,1988
10333,10333,1982
10353,6331,2016
10374,24165,1995
10379,1960,1988
10391,4132,1997
10393,10880,1986
10393,5592,1987
10393,9423,1988
10393,13449,1990
10393,23773,1994
10393,2554,1996
10393,28998,1997
10405,10411,1997
10405,2189,1998
10405,1976,2000
10405,66300,2011
10407,7686,1981
10407,12233,2003
10407,125000,2017
10411,31516,1996
10426,11502,1996
10426,60954,1999
10426,14593,2002
10426,14131,2002
10439,9973,1988
10443,5745,1981
10443,10048,1986
10453,11673,1987
10453,28279,1995
10453,160231,2008
10466,29104,1996
10466,13567,1996
10466,13312,1998
10466,9653,1998
10466,64940,1998
10482,5148,1984
10484,7856,1985
10484,4183,1986
10498,10735,2011
10499,5869,1998
10501,8555,1982
10504,10671,2004
10519,4475,1986
10519,63862,1997
10519,4058,1999
10519,10906,2007
10519,3580,2010
10530,22859,1995
10530,101310,1997
10530,7881,1998
10530,13473,1999
10530,21757,2000
10530,29357,2000
10530,31454,2000
10530,12480,2000
10530,63182,2000
10530,9699,2002
10530,5087,2005
10530,3971,2011
10530,31881,2016
10537,62513,
10537,64415,
10540,11205,1987
10540,10530,1997
10540,10540,2006
10550,28691,2003
10553,2388,1988
10553,4132,1997
10553,24190,1999
10553,7980,2001
10553,133047,2005
10565,2270,2004
10566,2180,1982
10567,4515,1985
10571,8833,1981
10576,11284,1990
10576,12793,1992
10576,10769,1996
10581,5959,2003
10588,64996,2000
10588,3796,2001
10597,1767,1986
10608,11806,1987
10614,12795,1993
10615,10654,2001
10618,10618,1998
10621,1074,1983
10621,4503,2000
10631,185269,2013
10640,1017,1996
10640,6765,1996
10640,7952,1996
10640,1608,1997
10642,1911,1982
10665,8224,1986
10669,6225,1982
10669,10695,1986
10669,4549,1987
10669,10669,1997
10669,11465,1997
10671,3439,2001
10671,11506,2002
10671,8264,2004
10671,8264,2005
10671,1048,2007
10671,211819,2008
10671,28919,2008
10671,175982,2014
10692,2374,1983
10692,9335,1984
10705,2421,1985
10714,1903,
10726,124374,2003
10735,8881,2010
10735,10498,2011
10757,66624,1998
10769,6878,1986
10769,12639,1994
10787,1829,1988
10787,13844,1996
10787,1581,1997
10787,28816,1997
10787,6427,1997
10787,1478,1998
10787,30285,1998
10787,4510,1998
10787,10972,1999
10787,1608,1999
10787,31166,1999
10787,8960,1999
10787,7647,2000
10787,11218,2000
10787,19439,2000
10787,12143,2000
10787,6096,2001
10787,9445,2001
10787,4641,2001
10787,149738,2001
10787,14883,2001
10787,14503,2002
10787,27755,2002
10787,1004,2007
10787,181099,2010
10787,10787,2014
10789,9039,1981
10789,8892,2012
10793,11093,1985
10801,1240,1999
10801,1240,1999
10801,8455,2009
10813,5339,1996
10815,19847,1995
10815,28576,1997
10816,7089,1984
10816,112758,1999
10845,2562,2000
10845,1239,2011
10845,8762,2015
10860,2858,1997
10860,3033,2003
10860,135990,2006
10860,11056,2006
10867,7457,1982
10867,8208,1986
10867,10805,1988
10867,23199,1996
10867,29262,1999
10867,65915,2001
10868,19831,1996
10868,30424,1998
10868,29501,1998
10868,116144,1998
10868,7650,1999
10868,66543,1999
10868,28120,2001
10877,8357,1999
10877,22231,2000
10877,7912,2012
10880,10885,1989
10883,6156,1987
10884,28787,2005
10888,10448,1986
10894,14367,1998
10894,30293,2005
10894,10894,2006
10894,30539,2015
10903,8409,1986
10903,20055,1994
10903,24703,1995
10903,10903,2002
10903,20158,2004
10903,12126,2005
10903,3835,2006
10903,9689,2008
10903,10903,2014
10903,31616,2015
10909,16678,1995
10909,18368,1996
10909,16934,1997
10909,19078,2000
10915,6276,1985
10916,15580,2009
10920,17616,2000
10920,3416,2004
10946,12099,1987
10946,8575,1987
10968,10968,1982
10970,10503,1986
10972,62263,1997
10972,8530,
10983,1567,1997
10983,13841,1999
10983,2033,1999
10983,2598,2000
10983,13611,2000
10983,1545,2002
10983,64997,2006
10983,64997,2006
10983,5229,2012
10984,1153,1983
10984,10973,1984
10984,28574,1999
10984,135669,2005
10984,130766,2006
10984,136267,2006
10984,165845,2017
10991,28781,2000
10992,28479,1995
10992,17086,1995
10992,7238,1996
10992,61714,1997
10993,12103,1994
10999,4751,1992
10999,7974,2008
11012,3607,2001
11032,29496,1998
11032,3504,1999
11032,7750,2001
11038,64168,2000
11040,30742,1999
11056,7320,1989
11056,29044,1999
11056,8099,2000
11056,9371,2000
11060,2081,1984
11060,13364,1994
11060,24419,2004
11060,13554,2011
11082,3718,1982
11083,12162,1987
11089,2479,1982
11096,8902,1997
11096,106900,1997
11096,24625,1997
11096,2176,2002
11115,4132,1996
11115,15160,1998
11124,11124,1998
11124,62437,1999
11124,10530,2001
11124,64637,2003
11124,157217,2009
11138,12787,
11142,11142,1997
11145,1706,1997
11191,17828,1998
11191,19349,2001
11191,6109,2007
11191,25848,2008
11191,206211,2010
11220,20786,1997
11220,13534,1997
11220,11220,2004
11228,15508,2000
11234,10845,2001
11236,9968,1982
11236,9968,1982
11236,25326,1999
11247,9829,1991
11259,6508,1982
11259,12106,1992
11259,122736,2001
11262,9984,1982
11262,5088,1982
11264,162378,2007
11264,25168,2008
11264,108631,2008
11264,25356,2008
11278,6001,1987
11284,10412,
11288,13308,1999
11300,10393,1997
11300,100338,1998
11300,8245,2003
11300,25080,2005
11300,31122,2011
11300,30612,2013
11306,7487,1987
11306,12694,1995
11306,6114,1995
11306,2362,1995
11306,15246,
11315,11315,1997
11315,5340,2005
11315,7647,2006
11315,113498,2007
11336,7719,1986
11340,11340,1997
11340,11340,1997
11340,122634,1999
11347,12255,
11366,11538,1996
11376,25682,1995
11379,3125,1986
11399,12207,1989
11399,24608,2004
11399,13369,2008
11436,10852,1983
11436,7331,1988
11436,2529,1995
11436,12293,1996
11440,6867,2000
11440,147310,2001
11443,10845,2001
11446,29392,2008
11446,6104,
11446,29830,
11453,6587,1983
11455,31016,2002
11456,11502,2002
11462,9325,2016
11465,7139,2006
11483,11683,1986
11483,8345,1986
11483,8972,1996
11486,3176,1987
11499,100572,2000
