GVKEY,DATADATE,FYEAR,CIK,MD_A,PROFORMA
002101,30JUN1998,1998,0000109563,2,C
002101,30JUN2009,2009,0000109563,3,I
002111,30SEP1999,1999,0000010795,3,N
002111,30SEP2007,2007,0000010795,3,N
002113,31AUG1999,1999,0000772263,1,N
002124,31DEC1994,1994,0000729580,1,N
002136,31DEC1997,1997,0000732712,2,N
002136,31DEC2000,2000,0000732712,2,N
002136,31DEC2006,2006,0000732712,2,I
002136,31DEC2012,2012,0000732712,1,N
002146,31DEC1997,1997,0000732713,3,N
002150,31DEC1997,1997,0000356080,2,C
002154,31DEC2010,2010,0000011199,3,I
002163,31MAR1998,1997,0000935226,3,C
002169,30SEP1999,1999,0000011454,3,I
002184,28FEB2001,2000,0000764478,5,C
002184,28FEB2002,2001,0000764478,5,C
002184,28FEB2009,2008,0000764478,4,C
002189,31DEC1998,1998,0000011860,2,C
002204,31DEC1996,1996,0000870756,5,I
002220,31DEC1999,1999,0000012208,3,C
002222,31DEC2001,2001,0000722104,2,C
002230,31MAY1995,1994,0000351346,2,C
002230,31MAY2005,2004,0000351346,3,N
002269,30APR1994,1993,0000012659,2,N
002285,31DEC2006,2006,0000012927,1,N
002285,31DEC2010,2010,0000012927,1,N
002290,31DEC2003,2003,0000012978,5,C
002295,30JUN1998,1998,0000354655,3,C
002295,30JUN1999,1999,0000354655,3,C
002346,31DEC1998,1998,0000013610,2,C
002346,31DEC2007,2007,0000013610,2,I
002352,31JUL2000,2000,0000746598,3,N
002402,30JUN2000,2000,0000014280,3,C
002403,31DEC2008,2008,0000014272,1,N
002403,31DEC2009,2009,0000014272,2,N
002403,31DEC2010,2010,0000014272,2,N
002403,31DEC2012,2012,0000014272,3,N
002408,31DEC2008,2008,0000868675,2,I
002410,31DEC2000,2000,0000313807,5,C
002410,31DEC2002,2002,0000313807,2,N
002410,31DEC2011,2011,0000313807,2,N
002411,31MAR2003,2002,0000756620,2,N
002411,31MAR2005,2004,0000756620,3,I
002411,31MAR2008,2007,0000756620,3,N
002436,31JAN2012,2011,0000014707,3,C
002437,31DEC1996,1996,0000014803,2,C
002437,31DEC2001,2001,0000014803,3,C
002437,31DEC2003,2003,0000014803,3,C
002439,30SEP1995,1995,0000014827,4,C
002497,31DEC2008,2008,0000015615,2,I
002521,31DEC1999,1999,0001003429,1,N
002536,31MAR2004,2003,0000733269,3,C
002536,31MAR2005,2004,0000733269,3,N
002536,31MAR2006,2005,0000733269,3,N
002537,30JUN2001,2001,0000350621,2,C
002556,31MAR2008,2007,0000020629,3,C
002561,31MAR1995,1994,0000351717,3,C
002573,30SEP2003,2003,0000356037,3,C
002577,31DEC1997,1997,0000026058,3,C
002577,31DEC2005,2005,0000026058,3,C
002577,31DEC2012,2012,0000026058,3,I
002589,31DEC2004,2004,0001018871,3,C
002589,31DEC2009,2009,0001018871,2,C
002596,30JUN1998,1998,0000016058,3,C
002596,30JUN1999,1999,0000016058,3,C
002596,30JUN2012,2012,0000016058,4,N
002597,31DEC2002,2002,0000744473,4,N
002597,31DEC2006,2006,0000744473,4,I
002598,31DEC1997,1997,0000356211,3,C
002615,28FEB2007,2006,0000730255,3,I
002663,31JUL1995,1995,0000016732,3,C
002696,31DEC2001,2001,0000016868,2,C
002697,31DEC2004,2004,0000016873,1,C
002710,31AUG1994,1994,0000016918,3,C
002710,28FEB1999,1998,0000016918,4,C
002710,28FEB2002,2001,0000016918,3,C
002710,29FEB2004,2003,0000016918,3,C
002710,28FEB2005,2004,0000016918,3,C
002710,28FEB2007,2006,0000016918,3,C
002721,31DEC2003,2003,0000016988,1,N
002721,31DEC2005,2005,0000016988,1,N
002721,31DEC2010,2010,0000016988,3,I
002751,30JUN2002,2002,0000721371,2,N
002751,30JUN2003,2003,0000721371,3,N
002751,30JUN2005,2005,0000721371,2,N
002771,31DEC2010,2010,0000790051,4,C
002787,30JUN1997,1997,0000017843,2,C
002787,30JUN1998,1998,0000017843,3,I
002787,30JUN2012,2012,0000017843,3,I
002811,31DEC2011,2011,0000018172,2,C
002817,31DEC2011,2011,0000018230,4,I
002829,31OCT2011,2011,0000740664,3,C
002846,31DEC1994,1994,0000708823,1,C
002884,31DEC1993,1993,0000018926,2,C
002884,31DEC1994,1994,0000018926,3,C
002884,31DEC2009,2009,0000018926,4,C
002884,31DEC2011,2011,0000018926,4,C
002891,31DEC1999,1999,0000725259,3,C
002916,31DEC1994,1994,0000814068,3,C
002916,31DEC2005,2005,0000814068,5,C
002916,31DEC2006,2006,0000814068,5,C
002916,31DEC2007,2007,0000814068,5,I
002938,31JAN2000,1999,0000019353,4,I
002940,31DEC2006,2006,0000019411,2,C
002942,31JUL1996,1996,0000019446,1,N
002942,31JUL2002,2002,0000019446,3,I
002950,30NOV1998,1998,0000019520,2,C
002953,31DEC1999,1999,0000215419,2,C
002953,31DEC2006,2006,0000215419,1,N
002991,31DEC1999,1999,0000093410,1,N
002991,31DEC2005,2005,0000093410,2,C
003011,31DEC1995,1995,0000706539,4,C
003011,31DEC2000,2000,0000706539,2,C
003011,31DEC2002,2002,0000706539,2,N
003011,31DEC2003,2003,0000706539,3,C
003026,31DEC2001,2001,0000313927,2,I
003026,31DEC2004,2004,0000313927,3,I
003026,31DEC2012,2012,0000313927,4,C
003028,31DEC2000,2000,0000020212,3,C
003028,31DEC2010,2010,0000020212,3,C
003054,28FEB2005,2004,0000104599,2,I
003107,31DEC1994,1994,0000764065,2,C
003107,31DEC2005,2005,0000764065,3,C
003107,31DEC2007,2007,0000764065,4,I
003107,31DEC2010,2010,0000764065,2,N
003107,31DEC2011,2011,0000764065,4,C
003116,31MAR2006,2005,0000716646,3,C
003116,31MAR2009,2008,0000716646,2,I
003116,31MAR2010,2009,0000716646,1,N
003121,30JUN1997,1997,0000021076,2,N
003126,31DEC2000,2000,0000021212,2,C
003138,31DEC1999,1999,0000317540,2,N
003144,31DEC2001,2001,0000021344,2,N
003153,31DEC2007,2007,0000215466,1,N
003156,31DEC2005,2005,0000021438,3,C
003158,31DEC2012,2012,0000021535,1,N
003203,31AUG2012,2012,0000830524,3,C
003226,31DEC2011,2011,0001166691,5,C
003246,31AUG1995,1995,0000022444,1,C
003277,31MAR2002,2001,0000023055,2,C
003278,31JAN1996,1995,0000723612,2,N
003282,31DEC1997,1997,0000714154,1,N
003282,31DEC1998,1998,0000714154,2,I
003282,31DEC1999,1999,0000714154,2,N
003310,31MAR1995,1994,0000356028,2,C
003310,31MAR1996,1995,0000356028,3,C
003310,31MAR1997,1996,0000356028,2,C
003310,31MAR1999,1998,0000356028,2,N
003310,31MAR2000,1999,0000356028,2,C
003310,31MAR2001,2000,0000356028,5,C
003310,31MAR2005,2004,0000356028,1,N
003336,31MAR2001,2000,0000023082,2,N
003336,31MAR2008,2007,0000023082,3,C
003336,31MAR2009,2008,0000023082,4,N
003358,31JUL2001,2001,0000023197,2,C
003358,31JUL2009,2009,0000023197,2,N
003362,31MAY1998,1997,0000023217,2,N
003362,31MAY1999,1998,0000023217,2,N
003362,31MAY2001,2000,0000023217,2,I
003362,31MAY2013,2012,0000023217,4,C
003365,31DEC2003,2003,0000023019,3,I
003394,31DEC2012,2012,0000276209,3,I
003413,31DEC1999,1999,0001047862,4,C
003416,31DEC2007,2007,0000023675,3,I
003502,31DEC1999,1999,0000024491,3,C
003504,31OCT2005,2005,0000711404,1,N
003532,31DEC1993,1993,0000024741,3,C
003532,31DEC2000,2000,0000024741,3,I
003556,30SEP1997,1997,0000025212,3,C
003580,31DEC1994,1994,0000025445,3,I
003580,31DEC1996,1996,0000025445,2,N
003580,31DEC1998,1998,0000025445,2,C
003580,31DEC2003,2003,0000025445,3,N
003580,31DEC2008,2008,0000025445,4,N
003580,31DEC2010,2010,0000025445,3,N
003662,31DEC2004,2004,0000026324,3,C
003662,31DEC2008,2008,0000026324,3,N
003662,31DEC2012,2012,0000026324,4,C
003691,31DEC1998,1998,0000109657,4,C
003708,31DEC1997,1997,0000030697,3,I
003735,31DEC1995,1995,0000313616,3,C
003735,31DEC1996,1996,0000313616,3,C
003735,31DEC1998,1998,0000313616,3,C
003735,31DEC2000,2000,0000313616,3,C
003735,31DEC2004,2004,0000313616,3,C
003735,31DEC2005,2005,0000313616,4,C
003735,31DEC2006,2006,0000313616,3,C
003735,31DEC2007,2007,0000313616,3,C
003735,31DEC2010,2010,0000313616,3,C
003735,31DEC2011,2011,0000313616,4,C
003735,31DEC2012,2012,0000313616,3,C
003772,31MAR1995,1994,0000355735,3,C
003851,30JUN1999,1999,0000027904,2,N
003851,31DEC2000,2000,0000027904,2,N
003863,31DEC1993,1993,0000027996,2,C
003863,31DEC1999,1999,0000027996,2,N
003905,30JUN2009,2009,0000730464,3,I
003918,31MAR1999,1998,0000028630,2,C
003918,31MAR2002,2001,0000028630,2,I
003918,31MAR2003,2002,0000028630,2,C
003918,31MAR2004,2003,0000028630,3,I
003918,31MAR2006,2005,0000028630,3,I
003946,31DEC1995,1995,0000028823,1,N
003946,31DEC2001,2001,0000028823,2,N
003946,31DEC2002,2002,0000028823,2,N
003949,31JUL2000,2000,0000028866,1,C
003964,31JAN1999,1998,0000028917,3,C
003969,31DEC2000,2000,0000029002,2,C
003980,30SEP2006,2006,0001001039,2,C
003980,30SEP2010,2010,0001001039,2,N
004001,31DEC1993,1993,0000029332,2,C
004001,31DEC2000,2000,0000029332,3,C
004029,31DEC2001,2001,0000715957,2,C
004040,31DEC2004,2004,0000029669,3,C
004040,31DEC2007,2007,0000029669,3,C
004040,31DEC2010,2010,0000029669,3,C
004040,31DEC2012,2012,0000029669,2,C
004052,31DEC2009,2009,0000029834,2,C
004060,31DEC2009,2009,0000029915,5,C
004062,31DEC2005,2005,0000029924,2,C
004066,31DEC1998,1998,0000029989,3,N
004066,31DEC1999,1999,0000029989,3,N
004066,31DEC2012,2012,0000029989,4,N
004072,31JUL2012,2012,0001498301,3,C
004073,31OCT1993,1993,0000030099,2,C
004087,31DEC1999,1999,0000030554,2,I
004087,31DEC2002,2002,0000030554,3,N
004091,31DEC2006,2006,0000030305,3,I
004091,31DEC2011,2011,0000030305,2,C
004094,31DEC2003,2003,0001115222,3,N
004108,31DEC2000,2000,0000030625,3,C
004108,31DEC2008,2008,0000030625,3,N
004115,31JUL2002,2002,0000067215,3,C
004115,31JUL2004,2004,0000067215,3,C
004127,31DEC2002,2002,0000030822,2,C
004127,31DEC2008,2008,0000030822,2,C
004127,31DEC2011,2011,0000030822,5,C
004128,31DEC2006,2006,0000030828,4,C
004145,31DEC2000,2000,0000031791,5,I
004145,31DEC2001,2001,0000031791,3,C
004145,31DEC2007,2007,0000031791,2,N
004145,31DEC2011,2011,0000031791,3,I
004189,31DEC1999,1999,0000311259,2,C
004194,31DEC2000,2000,0000031235,3,N
004194,31DEC2002,2002,0000031235,1,N
004194,31DEC2003,2003,0000031235,3,I
004194,31DEC2005,2005,0000031235,3,I
004199,31DEC1996,1996,0000031277,3,N
004199,31DEC1997,1997,0000031277,2,N
004199,31DEC1999,1999,0000031277,2,I
004199,31DEC2008,2008,0000031277,3,I
004204,31AUG1995,1995,0000031348,3,I
004213,31DEC1998,1998,0000031462,3,N
004213,31DEC2004,2004,0000031462,3,N
004213,31DEC2007,2007,0000031462,3,N
004213,31DEC2011,2011,0000031462,4,I
004222,31DEC2006,2006,0000031617,2,I
004274,31MAY1995,1994,0000726514,3,C
004274,31MAY1998,1997,0000726514,2,C
004321,30SEP1995,1995,0000032604,3,N
004321,30SEP1998,1998,0000032604,2,N
004321,30SEP1999,1999,0000032604,2,N
004321,30SEP2006,2006,0000032604,3,N
004321,30SEP2007,2007,0000032604,3,N
004321,30SEP2010,2010,0000032604,3,C
004340,30JUN2004,2004,0000350917,1,C
004340,30JUN2007,2007,0000350917,2,C
004352,30JUN2003,2003,0000032878,2,C
004352,30JUN2010,2010,0000032878,3,C
004367,31DEC1997,1997,0001453090,3,N
004371,31DEC2005,2005,0000352947,3,N
004372,31OCT1998,1998,0000772891,5,C
004372,31OCT2003,2003,0000772891,3,I
004390,28FEB2001,2000,0000033002,3,C
004393,31DEC1995,1995,0000033015,2,I
004423,31DEC1994,1994,0000033185,3,C
004423,31DEC2007,2007,0000033185,3,C
004439,31DEC2006,2006,0000717826,2,N
004439,31DEC2007,2007,0000717826,2,N
004439,31DEC2009,2009,0000717826,3,N
004443,31DEC1997,1997,0000788964,5,C
004460,31OCT2003,2003,0000033619,3,N
004460,31OCT2006,2006,0000033619,2,N
004467,31DEC1998,1998,0000276283,2,C
004476,31MAR2008,2007,0000753568,3,C
004476,31MAR2010,2009,0000753568,3,C
004503,31DEC2010,2010,0000034088,2,C
004510,31DEC1995,1995,0000037785,1,I
004553,31OCT1999,1999,0000034339,2,C
004572,31JAN2003,2002,0000034497,2,C
004595,31AUG1996,1996,0000744106,2,C
004595,31AUG1999,1999,0000744106,3,C
004598,31MAY2001,2000,0001048911,3,C
004635,31DEC1993,1993,0000035469,1,N
004703,31DEC1994,1994,0000036326,3,I
004768,30APR1999,1998,0000314132,2,C
004771,30JUN2004,2004,0000037472,3,C
004783,31AUG1998,1998,0000037525,3,C
004790,31DEC2006,2006,0001360951,3,C
004802,30SEP2003,2003,0000037651,3,C
004809,31DEC2012,2012,0001128928,4,C
004828,31DEC1996,1996,0000037912,2,C
004844,31DEC1996,1996,0000038079,2,I
004844,31DEC2004,2004,0000038079,2,I
004844,31DEC2007,2007,0000038079,2,C
004881,31DEC2002,2002,0000038725,3,N
004900,30APR2012,2011,0000039020,3,C
004925,31MAR2005,2004,0000800365,1,N
004926,30NOV2006,2006,0000039368,4,I
004932,31DEC1996,1996,0000039547,2,C
004932,31DEC1999,1999,0000039547,3,C
004961,31DEC1997,1997,0000040858,2,N
004988,31DEC1995,1995,0000039899,5,C
004988,31DEC2000,2000,0000039899,2,C
005020,31DEC2007,2007,0000318771,1,N
005046,31DEC2001,2001,0000040533,4,N
005046,31DEC2002,2002,0000040533,3,N
005046,31DEC2003,2003,0000040533,3,N
005046,31DEC2006,2006,0000040533,2,N
005046,31DEC2011,2011,0000040533,1,N
005050,30SEP2010,2010,0000040570,3,C
005071,31MAY2002,2001,0000040704,3,I
005074,31DEC2001,2001,0001007456,3,C
005074,31DEC2006,2006,0001007456,4,N
005079,31DEC2000,2000,0000040779,1,N
005087,31DEC1995,1995,0000088205,1,N
005087,31DEC1998,1998,0000088205,5,C
005087,31DEC2006,2006,0000088205,2,N
005125,31DEC1998,1998,0000040987,3,C
005134,31DEC1999,1999,0000041077,3,I
005134,31DEC2000,2000,0000041077,3,C
005142,30APR1999,1998,0000041133,3,C
005142,30APR2009,2008,0000041133,3,N
005152,31DEC1998,1998,0000041296,2,C
005165,31MAR1999,1998,0000719274,3,C
005169,31DEC1993,1993,0000041499,1,C
005169,31DEC1998,1998,0000041499,1,N
005179,31DEC1998,1998,0000041719,2,C
005179,31DEC2007,2007,0000041719,3,N
005179,31DEC2010,2010,0000041719,2,C
005180,31DEC2005,2005,0001131399,2,N
005180,31DEC2006,2006,0001131399,2,N
005180,31DEC2007,2007,0001131399,3,N
005180,31DEC2008,2008,0001131399,2,N
005180,31DEC2009,2009,0001131399,3,N
005180,31DEC2012,2012,0001131399,2,N
005229,31DEC1998,1998,0000042542,2,I
005252,31DEC2008,2008,0000042888,4,N
005284,31DEC1996,1996,0000043196,5,C
005284,31DEC1997,1997,0000043196,5,C
005284,31DEC1999,1999,0000043196,5,C
005301,29FEB2008,2007,0000043300,3,C
005327,31DEC2000,2000,0000026820,5,C
005338,31OCT1998,1998,0000043920,3,C
005369,31DEC1994,1994,0000044420,3,C
005379,31DEC2001,2001,0001030749,3,I
005379,31DEC2008,2008,0001030749,3,C
005399,31DEC1994,1994,0000310377,2,I
005404,31AUG2003,2003,0000351298,3,C
005439,31DEC1996,1996,0000045012,2,N
005439,31DEC2000,2000,0000045012,1,N
005439,31DEC2004,2004,0000045012,1,N
005464,31DEC1996,1996,0000045370,3,N
005465,31DEC1994,1994,0000045379,3,C
005475,31DEC1993,1993,0000313478,3,C
005475,31DEC1995,1995,0000313478,2,C
005476,31DEC1993,1993,0000045599,2,C
005476,31DEC2000,2000,0000045599,3,C
005492,30JUN2000,2000,0000202058,2,N
005492,30JUN2001,2001,0000202058,2,C
005492,30JUN2006,2006,0000202058,2,C
005492,30JUN2007,2007,0000202058,2,C
005496,31DEC1993,1993,0000045876,2,C
005496,31DEC1998,1998,0000045876,2,C
005496,31DEC2000,2000,0000045876,2,C
005518,31DEC1998,1998,0000046080,2,C
005518,31DEC1999,1999,0000046080,3,C
005520,31DEC2004,2004,0000046129,3,I
005557,30JUN2001,2001,0000725627,3,C
005559,31DEC2007,2007,0000874238,2,C
005560,31DEC2008,2008,0000719413,3,I
005564,28FEB1997,1996,0000046601,3,I
005568,30APR1995,1994,0000046640,3,I
005568,30APR2004,2003,0000046640,1,N
005568,30APR2006,2005,0000046640,3,N
005569,31DEC1998,1998,0000046653,3,C
005572,28FEB2011,2010,0000916789,3,I
005589,31DEC1998,1998,0000046989,3,C
005594,31JUL1999,1999,0000047035,3,C
005606,31OCT1998,1998,0000047217,1,N
005606,31OCT2001,2001,0000047217,1,N
005606,31OCT2002,2002,0000047217,5,I
005606,31OCT2004,2004,0000047217,2,N
005606,31OCT2006,2006,0000047217,2,N
005606,31OCT2007,2007,0000047217,2,N
005606,31OCT2008,2008,0000047217,2,I
005606,31OCT2010,2010,0000047217,2,N
005621,30SEP1998,1998,0000047307,3,C
005639,30SEP2012,2012,0000047518,2,N
005643,31DEC1996,1996,0000047580,2,I
005643,31DEC1998,1998,0000047580,3,N
005643,31DEC1999,1999,0000047580,3,I
005643,31DEC2006,2006,0000047580,5,C
005650,31MAR2003,2002,0000047710,2,N
005650,31MAR2005,2004,0000047710,2,N
005671,31DEC1998,1998,0000356213,3,C
005680,31JAN2007,2006,0000354950,3,N
005680,31JAN2013,2012,0000354950,1,N
005691,31MAR2007,2006,0000715153,1,N
005693,31DEC1996,1996,0000048305,1,N
005693,31DEC1997,1997,0000048305,1,N
005709,31OCT2007,2007,0000048465,3,N
005711,31DEC1993,1993,0000320333,3,C
005711,31DEC1995,1995,0000320333,1,C
005726,31DEC1994,1994,0000048638,3,C
005826,30SEP1996,1996,0000353567,2,I
005831,30SEP2010,2010,0000049728,2,C
005841,31DEC1996,1996,0000716054,2,C
005841,31DEC2008,2008,0000716054,2,C
005848,31DEC1997,1997,0000052477,2,C
005848,31DEC1999,1999,0000052477,3,C
005860,31DEC1997,1997,0000216228,3,I
005860,31DEC2004,2004,0000216228,3,C
005862,31DEC1999,1999,0000052827,2,I
005878,31DEC1996,1996,0000049826,3,N
005878,31DEC1999,1999,0000049826,3,N
005878,31DEC2000,2000,0000049826,2,N
005878,31DEC2001,2001,0000049826,3,N
005878,31DEC2006,2006,0000049826,4,N
005878,31DEC2007,2007,0000049826,4,N
005878,31DEC2008,2008,0000049826,4,N
005901,31DEC1999,1999,0000720477,2,I
005973,30SEP1999,1999,0000050601,3,C
005978,31DEC2003,2003,0000353020,3,N
