GVKEY,DATADATE,FYEAR,CIK,MD_A,PROFORMA
006169,31DEC1998,1998,0000352789,1,C
006180,31DEC2006,2006,0000879933,2,C
006185,30SEP2006,2006,0000357108,3,C
006196,31DEC2007,2007,0000052795,3,N
006207,31JUL1999,1999,0000216275,2,C
006215,30JUN2000,2000,0000052971,1,I
006215,30JUN2003,2003,0000052971,3,C
006218,31DEC1996,1996,0000702808,2,C
006218,31DEC1997,1997,0000702808,3,C
006218,31DEC1998,1998,0000702808,3,C
006223,31DEC2007,2007,0000105634,2,C
006233,31DEC2012,2012,0000016859,2,N
006242,31DEC2000,2000,0000094610,2,C
006266,31DEC1994,1994,0000200406,1,C
006266,31DEC1995,1995,0000200406,1,N
006266,31DEC1996,1996,0000200406,1,N
006266,31DEC1997,1997,0000200406,1,N
006266,31DEC1998,1998,0000200406,2,N
006266,31DEC1999,1999,0000200406,2,N
006266,31DEC2000,2000,0000200406,2,N
006266,31DEC2001,2001,0000200406,1,N
006266,31DEC2003,2003,0000200406,1,N
006266,31DEC2005,2005,0000200406,1,N
006266,31DEC2006,2006,0000200406,2,I
006266,31DEC2007,2007,0000200406,3,N
006266,31DEC2008,2008,0000200406,1,N
006266,31DEC2009,2009,0000200406,2,N
006266,31DEC2010,2010,0000200406,2,N
006266,31DEC2012,2012,0000200406,3,I
006268,30SEP2000,2000,0000053669,2,N
006268,30SEP2001,2001,0000053669,2,N
006268,30SEP2006,2006,0000053669,2,N
006268,30SEP2011,2011,0000053669,2,N
006304,30JUN2001,2001,0000319201,1,N
006304,30JUN2002,2002,0000319201,2,N
006304,30JUN2007,2007,0000319201,1,N
006304,30JUN2008,2008,0000319201,2,I
006314,31DEC2006,2006,0000000020,2,I
006334,31DEC2008,2008,0001143068,3,C
006335,31DEC1993,1993,0000054480,3,C
006335,31DEC2005,2005,0000054480,3,I
006338,31DEC1997,1997,0000054507,2,I
006346,31JAN1997,1996,0000919628,1,C
006346,31JAN2003,2002,0000919628,3,C
006362,31DEC2001,2001,0000054883,3,C
006375,31DEC1999,1999,0000055067,2,C
006375,31DEC2001,2001,0000055067,4,C
006376,31JAN2003,2002,0000055080,2,C
006386,30JUN1994,1994,0000055242,3,C
006386,30JUN1998,1998,0000055242,3,C
006403,31DEC2001,2001,0001141185,2,C
006403,31DEC2004,2004,0001141185,2,C
006424,31DEC1996,1996,0000055604,2,C
006435,31DEC1999,1999,0000055785,2,I
006435,31DEC2000,2000,0000055785,2,I
006435,31DEC2009,2009,0000055785,3,N
006461,31DEC2011,2011,0000056047,2,C
006468,30NOV1996,1996,0000056252,2,C
006507,31DEC1996,1996,0000056955,2,I
006509,30SEP2001,2001,0000056978,2,C
006509,30SEP2009,2009,0000056978,2,C
006512,31MAR2003,2002,0000057083,2,C
006512,31MAR2004,2003,0000057083,3,I
006512,31MAR2012,2011,0000057083,1,N
006527,30JUN2006,2006,0000763532,4,C
006529,31DEC1998,1998,0000703360,2,I
006529,31DEC1999,1999,0000703360,2,N
006529,31DEC2001,2001,0000703360,2,N
006529,31DEC2007,2007,0000703360,3,C
006534,30JUN2009,2009,0000057139,3,C
006541,31DEC1994,1994,0000278243,2,C
006543,30APR2000,1999,0000057131,2,C
006552,31DEC1998,1998,0000716783,2,N
006565,30JUN2008,2008,0000707549,1,C
006565,30JUN2012,2012,0000707549,2,C
006571,31DEC2000,2000,0000057497,3,C
006588,31DEC2003,2003,0000725460,3,C
006639,30SEP2005,2005,0000058361,3,I
006716,31DEC1998,1998,0000706777,2,C
006730,31DEC1994,1994,0000059478,2,I
006730,31DEC2004,2004,0000059478,1,N
006730,31DEC2007,2007,0000059478,3,N
006730,31DEC2008,2008,0000059478,3,I
006731,30NOV1996,1996,0000059479,2,C
006733,31JAN2007,2006,0000701985,2,N
006745,31DEC1994,1994,0000059593,3,C
006774,31DEC1996,1996,0000936468,2,C
006774,31DEC2000,2000,0000936468,2,C
006788,31DEC1995,1995,0000315852,2,C
006797,31DEC2002,2002,0000791348,2,C
006799,31DEC2000,2000,0001062379,2,C
006809,31DEC1997,1997,0000006814,2,C
006821,31DEC1997,1997,0000060519,2,N
006821,31DEC1999,1999,0000060519,2,C
006825,31DEC1995,1995,0000861388,2,N
006830,31DEC2004,2004,0000060751,5,C
006836,31DEC2011,2011,0000060849,1,C
006864,31DEC1995,1995,0000064079,1,N
006867,31DEC2007,2007,0000067716,2,N
006908,31DEC2005,2005,0000061138,3,N
006922,31DEC2002,2002,0000717238,3,I
006930,31DEC2009,2009,0000887701,2,N
006936,30JUN2010,2010,0000061398,3,C
006946,31DEC2002,2002,0000749098,2,C
006946,31DEC2005,2005,0000749098,2,C
006948,31AUG1995,1995,0000061442,3,C
006956,31JUL1995,1995,0000015354,3,C
006972,31MAR2008,2007,0000202467,1,N
006994,31DEC2001,2001,0000061986,3,C
007017,31DEC1998,1998,0000101778,2,C
007017,31DEC2007,2007,0000101778,4,C
007045,28FEB1994,1993,0000062418,2,C
007045,28FEB1995,1994,0000062418,3,I
007049,31DEC1997,1997,0000062465,2,C
007049,31DEC1998,1998,0000062465,3,I
007070,31MAY1998,1997,0000062765,3,C
007085,31DEC1999,1999,0000062996,5,C
007086,31DEC1998,1998,0000745448,3,C
007114,31MAR2001,2000,0000063271,1,N
007116,31DEC1994,1994,0000063276,3,I
007116,31DEC1998,1998,0000063276,3,N
007123,31DEC2001,2001,0000711039,5,C
007127,31JAN1997,1996,0000063416,1,N
007127,31JAN2000,1999,0000063416,4,N
007127,31JAN2001,2000,0000063416,1,N
007146,30NOV2000,2000,0000063754,3,C
007171,31MAR2003,2002,0000927653,1,N
007171,31MAR2005,2004,0000927653,1,N
007171,31MAR2006,2005,0000927653,2,N
007171,31MAR2007,2006,0000927653,2,N
007171,31MAR2011,2010,0000927653,2,N
007171,31MAR2013,2012,0000927653,2,N
007186,31DEC2007,2007,0001170650,2,I
007203,31DEC1997,1997,0000216539,3,I
007205,31MAR2007,2006,0000748270,3,C
007205,31MAR2011,2010,0000748270,3,C
007215,30SEP1998,1998,0000216540,2,C
007228,30APR1994,1993,0000064670,3,C
007228,30APR1999,1998,0000064670,2,N
007228,30APR2002,2001,0000064670,2,C
007228,30APR2008,2007,0000064670,1,N
007228,30APR2009,2008,0000064670,2,N
007228,30APR2011,2010,0000064670,2,N
007228,30APR2013,2012,0000064670,2,N
007241,31DEC2007,2007,0000064803,3,C
007241,31DEC2008,2008,0000064803,3,N
007241,31DEC2011,2011,0000064803,1,N
007251,31DEC1996,1996,0000701811,2,N
007251,31DEC2002,2002,0000701811,3,I
007251,31JAN2009,2008,0000701811,3,N
007251,31JAN2010,2009,0000701811,3,N
007251,31JAN2011,2010,0000701811,3,N
007257,31DEC1999,1999,0000310158,3,N
007257,31DEC2000,2000,0000310158,2,N
007257,31DEC2006,2006,0000310158,1,N
007260,30JUN1998,1998,0000065011,3,C
007260,30JUN2006,2006,0000065011,4,I
007272,31JAN1994,1993,0000719721,3,C
007275,31MAR2007,2006,0000724004,2,C
007275,31MAR2011,2010,0000724004,3,C
007331,30JUN2012,2012,0000320345,3,C
007332,30NOV1996,1996,0000318251,2,N
007341,30SEP1995,1995,0000065743,2,I
007343,31AUG1999,1999,0000723125,2,C
007343,31AUG2006,2006,0000723125,2,C
007345,31DEC1998,1998,0000719612,3,I
007346,30SEP1998,1998,0000310568,2,N
007346,30SEP1999,1999,0000310568,3,I
007346,30SEP2006,2006,0000310568,3,C
007346,30SEP2007,2007,0000310568,2,C
007346,30SEP2010,2010,0000310568,2,C
007346,30SEP2011,2011,0000310568,2,C
007346,30SEP2012,2012,0000310568,2,C
007409,31DEC1997,1997,0000066479,4,C
007409,31DEC2006,2006,0000066479,4,I
007420,31DEC2001,2001,0000066570,2,C
007435,31DEC2001,2001,0000066740,3,N
007435,31DEC2005,2005,0000066740,4,N
007435,31DEC2010,2010,0000066740,4,N
007435,31DEC2012,2012,0000066740,3,N
007437,31DEC1995,1995,0000066756,2,I
007471,31MAR2004,2003,0000067099,1,N
007481,31DEC2012,2012,0000067279,3,C
007486,31MAR2006,2005,0000067347,3,C
007504,31DEC2005,2005,0000702131,3,C
007506,30JUN1996,1996,0000067472,2,N
007506,30JUN2007,2007,0000067472,4,I
007526,31DEC1999,1999,0000353569,3,I
007526,31DEC2000,2000,0000353569,2,C
007526,31DEC2010,2010,0000353569,3,C
007536,31DEC1998,1998,0000067686,2,I
007549,30SEP2007,2007,0000067887,3,N
007549,30SEP2009,2009,0000067887,3,N
007561,31AUG1998,1998,0000062262,2,I
007585,31DEC2007,2007,0000068505,2,N
007585,31DEC2012,2012,0000068505,2,N
007620,31DEC2000,2000,0000717423,3,C
007636,31DEC2007,2007,0000069488,3,I
007637,31MAR1999,1998,0000069499,3,C
007637,31MAR2007,2006,0000069499,3,C
007637,31DEC2007,2007,0000069499,3,C
007648,31DEC2000,2000,0000070866,2,N
007658,31DEC2004,2004,0000072162,2,N
007685,30JUN2009,2009,0000069633,3,C
007691,31DEC1996,1996,0000069671,1,N
007696,31MAR2000,1999,0000069733,3,I
007750,31MAY1995,1994,0000070318,3,C
007773,31AUG1999,1999,0000070538,2,I
007781,31JAN1999,1998,0000110536,2,N
007798,30SEP2003,2003,0000070793,3,I
007798,30SEP2008,2008,0000070793,3,C
007809,31MAR1996,1995,0000071023,2,C
007835,30JUN2001,2001,0000205700,3,C
007862,31DEC2000,2000,0001046861,2,C
007862,31DEC2002,2002,0001046861,2,C
007866,31DEC1993,1993,0000071691,2,C
007873,31OCT1998,1998,0000071745,4,C
007875,31DEC1996,1996,0000814453,3,C
007881,31DEC2002,2002,0001164727,2,C
007881,31DEC2008,2008,0001164727,1,N
007881,31DEC2011,2011,0001164727,1,N
007883,31DEC2004,2004,0000225263,3,I
007906,31MAY1995,1994,0000320187,2,N
007906,31MAY2004,2003,0000320187,3,N
007908,31MAR2011,2010,0000769594,2,I
007912,31DEC2005,2005,0000072207,2,C
007912,31DEC2006,2006,0000072207,2,C
007921,31OCT2007,2007,0000072331,3,I
007970,31DEC2000,2000,0000072741,2,N
007974,31DEC2000,2000,0001111711,2,C
007980,31DEC2000,2000,0000072911,2,N
007984,31DEC2005,2005,0000072931,1,N
007984,31DEC2008,2008,0000072931,2,N
007985,31DEC2000,2000,0001133421,2,C
007985,31DEC2001,2001,0001133421,3,I
007985,31DEC2002,2002,0001133421,2,C
007985,31DEC2007,2007,0001133421,2,N
007991,31DEC2001,2001,0000097216,3,N
008015,31MAR1995,1994,0000318025,3,I
008015,31MAR1997,1996,0000318025,2,N
008015,31MAR1998,1997,0000318025,3,C
008020,31DEC2002,2002,0000353278,2,N
008030,31DEC2002,2002,0000073309,1,C
008030,31DEC2007,2007,0000073309,3,I
008068,31DEC2006,2006,0000797468,2,C
008092,30JUN1995,1995,0000073887,2,I
008099,31DEC2001,2001,0001031296,4,C
008099,31DEC2011,2011,0001031296,4,C
008123,31DEC2002,2002,0000074303,3,C
008123,31DEC2007,2007,0000074303,3,C
008133,31DEC1997,1997,0000353230,3,C
008133,31DEC2003,2003,0000353230,3,I
008150,31JAN2001,2000,0000074585,2,C
008162,31DEC2005,2005,0000275858,3,C
008169,31DEC2007,2007,0000749037,2,N
008169,31DEC2008,2008,0000749037,3,C
008176,31DEC2005,2005,0000074818,3,C
008210,31DEC2005,2005,0000075208,2,C
008210,31DEC2006,2006,0000075208,3,I
008219,31MAY2004,2003,0000075288,3,C
008219,31MAY2005,2004,0000075288,3,C
008229,31DEC2007,2007,0000075340,4,C
008229,31DEC2009,2009,0000075340,3,C
008233,31JAN1998,1997,0000076791,2,C
008247,31DEC2012,2012,0000079879,3,N
008266,30APR2010,2009,0000277058,3,C
008272,31DEC2008,2008,0001032208,3,N
008280,31DEC1993,1993,0000075608,3,C
008334,31DEC2006,2006,0000708821,1,C
008357,31AUG1998,1998,0000076321,4,C
008358,30JUN2000,2000,0000076334,3,N
008358,30JUN2001,2001,0000076334,2,N
008358,30JUN2004,2004,0000076334,2,N
008358,30JUN2006,2006,0000076334,3,N
008382,31DEC1996,1996,0000709136,3,C
008382,31DEC1997,1997,0000709136,2,C
008386,31DEC2007,2007,0000076605,2,C
008402,31MAY1996,1995,0000723531,2,N
008423,30JUN2008,2008,0001422862,3,C
008463,31DEC1999,1999,0000077360,3,I
008479,31DEC2010,2010,0000077476,4,C
008486,31DEC2008,2008,0000077543,2,C
008486,31DEC2011,2011,0000077543,3,I
008530,31DEC1995,1995,0000078003,3,N
008530,31DEC1996,1996,0000078003,3,N
008530,31DEC2003,2003,0000078003,2,C
008530,31DEC2004,2004,0000078003,2,N
008530,31DEC2005,2005,0000078003,1,N
008530,31DEC2007,2007,0000078003,1,N
008530,31DEC2008,2008,0000078003,1,N
008530,31DEC2009,2009,0000078003,4,I
008530,31DEC2011,2011,0000078003,4,I
008536,31DEC1999,1999,0000078066,3,I
008544,31DEC2011,2011,0000078150,3,N
008546,31DEC2006,2006,0000313216,4,I
008546,31DEC2007,2007,0000313216,4,I
008546,31DEC2008,2008,0000313216,4,I
008546,31DEC2012,2012,0000313216,2,N
008549,31DEC2006,2006,0001163165,2,C
008582,31MAR1998,1997,0000088948,2,C
008599,31MAR1998,1997,0000078749,1,C
008599,31MAR2008,2007,0000078749,3,I
008606,31DEC1993,1993,0000078814,1,N
008606,31DEC2001,2001,0000078814,3,C
008606,31DEC2004,2004,0000078814,3,I
008606,31DEC2007,2007,0000078814,4,C
008627,31DEC1998,1998,0000350426,1,I
008644,31DEC2006,2006,0000701818,1,N
008644,31DEC2007,2007,0000701818,2,N
008644,31DEC2008,2008,0000701818,1,N
008644,31DEC2010,2010,0000701818,3,N
008675,31DEC2001,2001,0000311871,2,C
008699,30SEP2010,2010,0000080420,3,N
008711,31DEC1994,1994,0000079920,5,C
008717,31MAR1997,1996,0000079958,3,C
008717,31MAR1998,1997,0000079958,3,N
008717,31MAR1999,1998,0000079958,3,N
008717,31MAR2000,1999,0000079958,3,I
008717,31MAR2004,2003,0000079958,3,C
008717,31MAR2007,2006,0000079958,3,C
008717,31MAR2013,2012,0000079958,3,I
008762,30JUN1998,1998,0000080424,2,C
008762,30JUN2000,2000,0000080424,2,N
008762,30JUN2004,2004,0000080424,3,I
008762,30JUN2006,2006,0000080424,3,C
008802,31DEC1996,1996,0000080984,2,N
008852,30JUN1995,1995,0000081371,2,I
008864,30SEP1997,1997,0000720500,3,C
008867,31MAR1999,1998,0000709283,1,C
008867,31MAR2007,2006,0000709283,2,C
008873,31DEC2001,2001,0000751652,2,C
008892,31OCT1997,1997,0000700841,5,C
008902,31MAY1995,1994,0000110621,3,C
008925,31DEC2005,2005,0000718573,3,C
008947,31DEC2005,2005,0000082020,2,C
008972,31DEC2011,2011,0001047122,2,N
008990,31DEC1996,1996,0000082536,3,C
009004,31DEC2004,2004,0000770949,4,N
009016,31DEC2000,2000,0000082811,3,I
009063,31DEC1996,1996,0000350698,2,I
009063,31DEC1997,1997,0000350698,3,C
009063,31DEC1998,1998,0000350698,3,C
009155,28FEB1995,1994,0000084129,2,I
009155,28FEB1997,1996,0000084129,3,I
009170,31OCT1999,1999,0000084278,2,C
009173,31AUG2011,2011,0000084290,3,C
009215,31DEC2005,2005,0000733099,5,I
009217,31DEC1999,1999,0000084792,5,C
009236,31DEC1995,1995,0000217028,3,I
009325,31DEC2006,2006,0000089270,3,C
009332,31DEC1997,1997,0000093444,3,C
009340,31DEC2008,2008,0000930184,3,I
009340,31DEC2009,2009,0000930184,3,N
009343,31DEC2000,2000,0001010401,3,N
009358,31DEC1998,1998,0000314865,3,C
009359,31DEC1997,1997,0000086144,3,C
009359,31DEC1998,1998,0000086144,2,C
009359,31DEC1999,1999,0000086144,5,C
009372,31DEC2003,2003,0000203077,3,N
009372,31DEC2005,2005,0000203077,3,I
009372,31DEC2008,2008,0000203077,1,N
009411,30JUN2000,2000,0000023666,3,N
009411,30JUN2002,2002,0000023666,3,C
009465,31DEC2000,2000,0000087347,2,N
009465,31DEC2010,2010,0000087347,3,I
009472,31AUG2010,2010,0000087565,4,I
009483,30JUN2002,2002,0000087777,2,C
009545,30JUN1996,1996,0000354952,2,N
009549,31DEC1996,1996,0000320321,2,C
009549,31DEC2001,2001,0000320321,1,N
009563,31DEC1996,1996,0000319256,1,N
009563,31DEC2002,2002,0000319256,3,C
009590,31DEC2007,2007,0000088790,3,C
009599,31JAN2010,2009,0000088941,3,I
009599,31JAN2013,2012,0000088941,3,I
009611,31DEC1994,1994,0000089089,3,C
009611,31DEC2006,2006,0000089089,4,C
009611,31DEC2010,2010,0000089089,4,C
009643,31DEC1998,1998,0000089498,3,C
009667,31DEC1996,1996,0000089800,3,I
009673,31OCT1996,1996,0000089902,4,I
009715,30JUN2003,2003,0000082628,5,N
009718,30SEP1999,1999,0000712752,2,C
009728,31DEC2007,2007,0000314203,2,C
009771,31DEC2006,2006,0000091142,3,C
009771,31DEC2009,2009,0000091142,2,N
009771,31DEC2011,2011,0000091142,3,C
009772,31DEC2008,2008,0000721083,3,C
009774,30APR1999,1998,0000091388,2,C
009774,30APR2002,2001,0000091388,3,N
009774,30APR2008,2007,0000091388,3,C
009777,30APR2005,2004,0000091419,3,C
009778,31DEC1998,1998,0000091440,3,N
009786,31MAY1995,1994,0000354260,3,N
009815,31DEC1993,1993,0000091767,3,C
009815,31DEC1994,1994,0000091767,3,N
009818,31MAR2003,2002,0000313838,1,N
009818,31MAR2004,2003,0000313838,1,N
009850,31DEC1995,1995,0000092122,2,C
009859,31DEC1998,1998,0000092223,2,C
009861,31DEC1997,1997,0000790650,1,N
009867,30JUN2000,2000,0000203248,3,C
009867,30JUN2001,2001,0000203248,2,I
009867,30JUN2003,2003,0000203248,2,I
009882,31DEC2011,2011,0000092380,4,C
009899,31DEC2006,2006,0000732717,2,I
009899,31DEC2007,2007,0000732717,5,N
009899,31DEC2009,2009,0000732717,2,N
009919,31DEC2009,2009,0000743238,3,C
009921,31OCT1996,1996,0000077597,3,N
009921,31OCT1997,1997,0000077597,3,N
009922,30JUN2006,2006,0000092679,3,C
009942,30JUN1998,1998,0000092827,2,N
009999,29FEB2012,2011,0000093384,3,C
010000,31DEC1996,1996,0000093389,3,C
010016,31DEC1998,1998,0000093556,2,N
010016,31DEC2004,2004,0000093556,3,C
010016,31DEC2006,2006,0000093556,3,C
010016,31DEC2011,2011,0000093556,5,C
010016,31DEC2012,2012,0000093556,5,C
010030,30JUN2006,2006,0000093676,1,C
010033,28FEB2002,2001,0000093736,2,C
010071,30SEP1995,1995,0000716714,2,C
010071,30SEP1999,1999,0000716714,2,C
010107,31DEC1995,1995,0000723610,2,N
010109,30NOV2005,2005,0000094887,3,C
010115,31DEC2000,2000,0000310764,3,N
010159,30SEP2004,2004,0000095366,3,C
010190,28FEB1995,1994,0000095521,2,N
010190,29FEB2000,1999,0000095521,2,C
010190,28FEB2005,2004,0000095521,2,N
010232,31DEC1996,1996,0000278352,1,N
010232,31DEC2000,2000,0000278352,2,I
010236,31DEC2012,2012,0000095953,2,C
010237,31DEC1996,1996,0000719483,2,C
010238,31DEC1998,1998,0000202763,3,C
010247,30JUN2000,2000,0000096021,3,N
010247,30JUN2001,2001,0000096021,3,N
010266,31DEC1996,1996,0000718449,3,C
010266,31DEC2000,2000,0000718449,3,C
010275,31MAR2008,2007,0000203383,1,N
010286,31DEC2010,2010,0000277928,3,C
010301,31DEC1998,1998,0000100030,2,N
010301,31DEC1999,1999,0000100030,2,C
010301,31DEC2001,2001,0000100030,2,N
010332,31DEC1999,1999,0000096289,2,N
010353,31MAY1999,1998,0000318833,2,C
010353,31MAY2008,2007,0000318833,3,N
010374,31DEC1995,1995,0000096763,3,C
010374,31DEC1998,1998,0000096763,2,I
010374,31DEC2005,2005,0000096763,2,C
010374,31DEC2008,2008,0000096763,2,C
010380,30JUN2008,2008,0000096793,3,C
010382,31MAR2010,2009,0000741556,2,C
010385,31DEC2008,2008,0000886986,2,N
010385,31DEC2012,2012,0000886986,1,N
010391,31MAY2005,2004,0000096879,5,C
010405,31DEC2011,2011,0001018963,1,N
010407,31DEC2007,2007,0000096943,4,I
010407,31DEC2012,2012,0000096943,3,N
010417,31DEC1998,1998,0000096988,3,N
010420,31DEC1999,1999,0000317771,2,N
010420,31DEC2004,2004,0000317771,2,C
010441,31DEC1994,1994,0000097134,2,I
010441,31DEC2008,2008,0000097134,4,C
010453,31DEC2001,2001,0000097210,3,C
010453,31DEC2008,2008,0000097210,3,C
010453,31DEC2011,2011,0000097210,3,C
010458,31DEC1996,1996,0000720481,3,C
010466,31DEC1996,1996,0000050104,1,N
010466,31DEC2007,2007,0000050104,2,I
010482,31DEC1997,1997,0000097349,1,N
010499,31DEC1998,1998,0000097476,2,N
010499,31DEC2002,2002,0000097476,1,N
010530,31DEC1995,1995,0000097745,3,N
010530,31DEC2000,2000,0000097745,3,N
010530,31DEC2002,2002,0000097745,2,N
010530,31DEC2006,2006,0000097745,2,I
010530,31DEC2011,2011,0000097745,5,C
010537,31DEC1999,1999,0000721356,3,N
010540,31DEC1998,1998,0000097854,3,N
010540,31DEC1999,1999,0000097854,3,N
010540,31DEC2007,2007,0000097854,3,I
010553,31MAY1994,1993,0000738076,2,C
010553,31MAY2005,2004,0000738076,2,C
010560,31DEC1995,1995,0000821530,3,C
010567,31DEC1997,1997,0000701374,4,C
010567,31DEC1998,1998,0000701374,5,C
010576,31DEC1996,1996,0001021387,5,C
010588,31DEC2001,2001,0000032258,2,C
010588,31DEC2002,2002,0000032258,3,I
010599,30NOV1998,1998,0000098559,3,C
010609,31DEC1993,1993,0000098677,3,C
010615,31DEC2001,2001,0000098720,2,C
010615,31DEC2002,2002,0000098720,3,N
010618,31OCT1998,1998,0000737758,2,N
010621,31DEC1996,1996,0000074091,2,C
010639,31JAN1998,1997,0001005414,2,N
010640,31DEC1996,1996,0000829221,2,N
010671,31DEC2004,2004,0001232384,2,N
010671,31DEC2007,2007,0001232384,2,N
010685,31MAR1998,1997,0000099302,2,C
010724,31MAR1995,1994,0000047254,3,C
010726,31DEC1997,1997,0000726513,2,C
010726,31DEC2000,2000,0000726513,3,I
010769,31DEC1994,1994,0000100240,1,N
010787,30JUN1996,1996,0000833444,2,N
010787,30SEP1998,1998,0000833444,3,C
010787,30SEP1999,1999,0000833444,3,C
010787,30SEP2000,2000,0000833444,2,C
010793,30SEP1998,1998,0000100493,2,C
010801,30SEP2004,2004,0000884614,3,C
010809,31DEC1993,1993,0000276104,3,C
010813,31OCT1996,1996,0000102379,2,C
010813,31OCT1999,1999,0000102379,2,I
010813,31DEC2007,2007,0000102379,2,C
010813,31DEC2012,2012,0000102379,4,C
010827,31DEC2007,2007,0000318259,2,I
010839,30JUN1994,1994,0000100726,1,N
010840,31AUG2004,2004,0000717954,3,C
010860,31DEC2003,2003,0001002910,4,C
010860,31DEC2004,2004,0001002910,4,C
010867,31DEC1996,1996,0000100885,5,C
010877,31DEC2004,2004,0000798949,2,C
010884,31DEC1997,1997,0000101063,2,C
010920,31DEC2005,2005,0001090727,3,N
010983,31DEC1999,1999,0000101829,2,C
010983,31DEC2000,2000,0000101829,2,N
010983,31DEC2003,2003,0000101829,2,N
010983,31DEC2005,2005,0000101829,3,N
010983,31DEC2012,2012,0000101829,4,C
010984,31DEC1999,1999,0000101830,1,N
010984,31DEC2005,2005,0000101830,2,I
010984,31DEC2006,2006,0000101830,2,I
010984,31DEC2009,2009,0000101830,2,N
010991,31OCT2000,2000,0000750004,2,C
010991,31DEC2003,2003,0000750004,3,I
010991,31DEC2006,2006,0000750004,3,I
010993,31DEC1994,1994,0000715969,4,C
011032,31DEC2010,2010,0000352915,3,C
011038,31DEC2000,2000,0000716039,1,N
011060,31DEC1994,1994,0000103379,3,C
011060,31DEC2000,2000,0000103379,2,C
011060,31DEC2003,2003,0000103379,3,I
011060,31DEC2004,2004,0000103379,3,I
011096,31OCT2001,2001,0000102741,3,C
011096,31OCT2010,2010,0000102741,3,N
011113,31DEC1994,1994,0000102993,4,N
011115,30SEP1998,1998,0000203527,2,N
011115,30SEP2007,2007,0000203527,2,N
011117,31JAN1997,1996,0000103071,2,I
011124,31DEC2001,2001,0000103145,3,C
011128,30SEP2008,2008,0000802100,1,N
011135,31MAR1997,1996,0000722056,2,C
011135,31MAR1998,1997,0000722056,2,I
011142,31DEC1997,1997,0000206030,3,C
011191,31DEC1993,1993,0000103730,3,C
011191,31DEC2001,2001,0000103730,3,C
011191,31DEC2005,2005,0000103730,1,C
011228,31DEC2007,2007,0001396009,3,C
011259,31JAN2009,2008,0000104169,1,N
011259,31JAN2012,2011,0000104169,3,N
011264,31AUG2008,2008,0000104207,1,N
011271,31JUL1998,1998,0000104348,3,C
011278,30JUN1996,1996,0000104519,2,I
011288,31DEC1993,1993,0000104669,2,N
011291,31DEC2011,2011,0000104777,3,C
011313,31DEC2007,2007,0000105016,3,I
011376,31DEC1995,1995,0000105770,3,C
011399,30JUN2004,2004,0000106040,2,N
011399,30JUN2008,2008,0000106040,2,C
011399,30JUN2012,2012,0000106040,3,C
011436,31DEC1995,1995,0000106413,2,C
011436,31DEC1996,1996,0000106413,5,C
011436,31DEC1999,1999,0000106413,3,I
011450,31DEC1999,1999,0000771950,3,C
011465,31DEC1994,1994,0000106640,1,N
011465,31DEC2006,2006,0000106640,3,C
011483,31OCT1996,1996,0000106945,2,C
011499,30APR2002,2001,0000107140,3,C
011499,30APR2007,2006,0000107140,4,I
011503,31DEC1993,1993,0000107203,5,C
011506,31DEC2001,2001,0000107263,2,C
011531,31DEC1996,1996,0000217084,2,N
011531,31DEC1998,1998,0000217084,3,C
011550,31DEC2000,2000,0000783325,3,C
011580,30SEP2009,2009,0000108312,4,I
011584,31JAN1997,1996,0000850209,1,N
011636,31DEC1998,1998,0000108772,1,N
011636,31DEC2007,2007,0000108772,3,I
011636,31DEC2010,2010,0000108772,4,I
011644,30JUN1997,1997,0000318996,2,I
011644,30JUN1998,1998,0000318996,2,I
011644,30JUN1999,1999,0000318996,2,I
011649,31DEC1999,1999,0000716006,3,C
011649,31DEC2005,2005,0000716006,2,C
011669,31JUL2001,2001,0000109156,2,C
011670,31DEC2003,2003,0000109177,3,C
011691,31MAR1997,1996,0000109446,5,C
011720,30JUN2002,2002,0000735780,1,C
011721,30SEP1998,1998,0000775158,3,C
011721,30SEP2007,2007,0000775158,3,C
011781,31DEC2004,2004,0001157806,2,N
011796,31DEC1997,1997,0000763744,3,C
011811,30JUN2010,2010,0000779152,3,C
011867,31DEC1998,1998,0000736291,3,C
011867,31DEC2001,2001,0000736291,2,C
011903,31OCT2008,2008,0000785787,2,C
011903,31OCT2009,2009,0000785787,3,C
011910,31OCT1993,1993,0000758004,3,N
011910,31OCT2001,2001,0000758004,3,C
011910,31OCT2002,2002,0000758004,3,C
011914,31MAY1999,1998,0000736822,3,C
011914,31MAY2009,2008,0000736822,3,C
011923,31DEC2002,2002,0000773910,2,N
011923,31DEC2006,2006,0000773910,2,C
012053,31DEC2000,2000,0000790070,1,N
012053,31DEC2003,2003,0000790070,4,C
012053,31DEC2005,2005,0000790070,2,I
012053,31DEC2006,2006,0000790070,3,C
012053,31DEC2008,2008,0000790070,2,C
012053,31DEC2009,2009,0000790070,1,C
012053,31DEC2010,2010,0000790070,2,C
012065,31MAR2009,2008,0000774517,3,C
012077,30JUN1997,1997,0000773136,2,C
012096,31DEC2007,2007,0000701719,2,C
012122,31JAN2001,2000,0000790414,3,N
012123,31JAN2012,2011,0000768835,3,N
012136,30JUN1996,1996,0000709519,1,N
012136,30JUN2001,2001,0000709519,1,N
012136,30JUN2006,2006,0000709519,2,I
012141,30JUN2001,2001,0000789019,2,N
012141,30JUN2003,2003,0000789019,1,N
012141,30JUN2008,2008,0000789019,1,N
012141,30JUN2012,2012,0000789019,2,N
